url,marca,modelo,tipo,genero,material_montura,forma,tipo_montura,color,talla,ancho_lente,ancho_puente,largo_varilla,calibre_total,peso,polarizadas,valoracion,num_resenas,precio
https://www.lentiamo.es/uvex-sportstyle-238-deep-space-matt-mir-red-s5330594416.html,Uvex Sports,S5330594416,sol,Unisex,Pasta,Rectangulares,,Negro,M,,17.0,134.0,133.0,85.0,False,,,35.99
https://www.lentiamo.es/versace-0ve-2140-10006g-40.html,Versace,0VE 2140 10006G 40,sol,Hombre,Metal/Pasta,Aviador,,Plateado,M,,15.0,135.0,140.0,350.0,False,,,115.16
https://www.lentiamo.es/uvex-sportstyle-706-black-ltm-silver-s5320062216.html,Uvex Sports,S5320062216,sol,Unisex,Pasta,Rectangulares,,Negro,M,,17.0,118.0,133.0,80.0,False,,,42.99
https://www.lentiamo.es/versace-0ve-2199-12524t-56.html,Versace,0VE2199 12524T 56,sol,Hombre,Metal/Pasta,Aviador,,Negro,L,,18.0,145.0,145.0,350.0,False,,,199.9
https://www.lentiamo.es/versace-0ve-2234-100287-53.html,Versace,0VE2234 100287 53,sol,Mujer,Metal/Pasta,Cat Eye,,Gris,M,,24.0,140.0,137.0,362.0,False,,,274.9
https://www.lentiamo.es/versace-0ve-2257-100271-60.html,Versace,0VE2257 100271 60,sol,Hombre,Metal,Rectangulares,,Dorado,M,,16.0,145.0,140.0,300.0,False,,,194.9
https://www.lentiamo.es/versace-0ve-2275-100280-60.html,Versace,0VE2275 100280 60,sol,Hombre,Metal,Cuadradas,,Dorado,M,,13.0,140.0,137.0,435.0,False,,,299.9
https://www.lentiamo.es/versace-0ve-4487-777-87-54.html,Versace,0VE4487 777/87 54,sol,Mujer,Acetato,Rectangulares,,MarrÃ³n,M,,19.0,140.0,139.0,420.0,False,,,159.9
https://www.lentiamo.es/versace-0ve-4498-108-71-55.html,Versace,0VE4498 108/71 55,sol,Mujer,Acetato,Cuadradas,,MarrÃ³n,M,,16.0,145.0,135.0,470.0,False,,,174.9
https://www.lentiamo.es/versace-0ve-2287-100287-58.html,Versace,0VE2287 100287 58,sol,Hombre,Metal,Rectangulares,,Dorado,M,,14.0,140.0,138.0,435.0,False,,,229.9
https://www.lentiamo.es/versace-0ve-2274-100284-58.html,Versace,0VE2274 100284 58,sol,Mujer,Metal,Rectangulares,,Dorado,M,,13.0,140.0,132.0,400.0,False,,,299.9
https://www.lentiamo.es/versace-0ve-2289-100287-61.html,Versace,0VE2289 100287 61,sol,Hombre,Metal,Aviador,,Dorado,M,,13.0,145.0,139.0,470.0,False,,,194.9
https://www.lentiamo.es/versace-0ve4425u-gb1-87-54.html,Versace,0VE4425U GB1/87 54,sol,Hombre,Nylon,Rectangulares,,Negro,L,,18.0,145.0,141.0,405.0,False,,,189.9
https://www.lentiamo.es/versace-0ve-4513d-gb1-82-56.html,Versace,0VE 4513D GB1/82 56,sol,Hombre,Acetato,Rectangulares,,Negro,L,,17.0,140.0,141.0,420.0,False,,,169.9
https://www.lentiamo.es/versace-0ve-4436u-gb1-81-57.html,Versace,0VE4436U GB1/81 57,sol,Hombre,Acetato,Aviador,,Negro,M,,18.0,140.0,139.0,385.0,True,,,204.9
https://www.lentiamo.es/versace-0ve-2288-1001-5-62.html,Versace,0VE2288 1001/5 62,sol,Mujer,Metal,Cuadradas,,Plateado,M,,11.0,130.0,137.0,480.0,False,,,229.9
https://www.lentiamo.es/versace-0ve-4510u-530580-52.html,Versace,0VE4510U 530580 52,sol,Hombre,Acetato,Cuadradas,,Gris,L,,19.0,145.0,142.0,470.0,False,,,159.9
https://www.lentiamo.es/versace-0ve-4489u-536087-55.html,Versace,0VE4489U 536087 55,sol,Hombre,Pasta,Rectangulares,,Negro,M,,18.0,140.0,139.0,420.0,False,,,209.9
https://www.lentiamo.es/versace-0ve-4490u-gb1-87-55.html,Versace,0VE4490U GB1/87 55,sol,Hombre,Pasta,Rectangulares,,Negro,M,,18.0,140.0,138.0,420.0,False,,,174.9
https://www.lentiamo.es/versace-0ve-4502u-108-87-58.html,Versace,0VE4502U 108/87 58,sol,Mujer,Metal/Pasta,Cuadradas,,MarrÃ³n,L,,16.0,130.0,148.0,540.0,False,,,229.9
https://www.lentiamo.es/versace-0ve-4505u-53422l-55.html,Versace,0VE4505U 53422L 55,sol,Mujer,Pasta,Cuadradas,,MarrÃ³n,M,,19.0,140.0,138.0,490.0,False,,,174.9
https://www.lentiamo.es/versace-0ve-2274-10016g-58.html,Versace,0VE2274 10016G 58,sol,Mujer,Metal,Rectangulares,,Gris,M,,13.0,140.0,132.0,400.0,False,,,299.9
https://www.lentiamo.es/versace-0ve-2264-100230-56.html,Versace,0VE2264 100230 56,sol,Unisex,Metal,Redondas,,Dorado,M,,18.0,140.0,138.0,380.0,False,,,279.9
https://www.lentiamo.es/versace-0ve-4507u-108-73-57.html,Versace,0VE4507U 108/73 57,sol,Mujer,Pasta,Cuadradas,,MarrÃ³n,M,,15.0,145.0,138.0,410.0,False,,,194.9
https://www.lentiamo.es/versace-0ve-2289-1002d8-61.html,Versace,0VE2289 1002D8 61,sol,Hombre,Metal,Aviador,,Dorado,M,,13.0,145.0,139.0,470.0,False,,,195.9
https://www.lentiamo.es/versace-0ve-2275-100287-60.html,Versace,0VE2275 100287 60,sol,Hombre,Metal,Cuadradas,,Dorado,M,,13.0,140.0,137.0,435.0,False,,,299.9
https://www.lentiamo.es/versace-0ve-4489u-gb1-87-55.html,Versace,0VE4489U GB1/87 55,sol,Hombre,Pasta,Rectangulares,,Negro,M,,18.0,140.0,139.0,420.0,False,,,209.9
https://www.lentiamo.es/versace-0ve-2293-100287-40.html,Versace,0VE2293 100287 40,sol,Hombre,Metal,Rectangulares,,Dorado,L,,140.0,140.0,152.0,530.0,False,,,199.9
https://www.lentiamo.es/versace-0ve-4447-gb1-87-55.html,Versace,0VE4447 GB1/87 55,sol,Unisex,Metal/Pasta,Rectangulares,,Negro,L,,17.0,145.0,143.0,150.0,False,,,204.9
https://www.lentiamo.es/versace-0ve-4490u-108-87-55.html,Versace,0VE4490U 108/87 55,sol,Hombre,Pasta,Rectangulares,,MarrÃ³n,M,,18.0,140.0,138.0,420.0,False,,,174.9
https://www.lentiamo.es/versace-0ve-4509u-551473-55.html,Versace,0VE4509U 551473 55,sol,Mujer,Pasta,Cuadradas,,MarrÃ³n,M,,18.0,140.0,135.0,490.0,False,,,204.9
https://www.lentiamo.es/versace-0ve-2287-100171-58.html,Versace,0VE2287 100171 58,sol,Hombre,Metal,Rectangulares,,Gris,M,,14.0,140.0,138.0,435.0,False,,,229.9
https://www.lentiamo.es/versace-0ve-4497u-554373-53.html,Versace,0VE4497U 554373 53,sol,Mujer,Pasta,Cuadradas,,MarrÃ³n,M,,15.0,140.0,139.0,440.0,False,,,194.9
https://www.lentiamo.es/versace-0ve-4507u-gb1-87-57.html,Versace,0VE 4507U GB1/87 57,sol,Mujer,Pasta,Cuadradas,,Negro,M,,15.0,145.0,138.0,410.0,False,,,189.9
https://www.lentiamo.es/versace-0ve-4492u-gb1-87-53.html,Versace,0VE4492U GB1/87 53,sol,Mujer,Acetato,Cuadradas,,Negro,M,,18.0,140.0,135.0,470.0,False,,,159.9
https://www.lentiamo.es/versace-0ve-4479u-gb1-7-52.html,Versace,0VE4479U GB1/7 52,sol,Hombre,Pasta,Cuadradas,,Negro,M,,18.0,140.0,136.0,430.0,False,,,209.9
https://www.lentiamo.es/versace-0ve-4361-5537-1-53.html,Versace,0VE4361 5537/1 53,sol,Hombre,Nylon,Rectangulares,,Rosa,M,,18.0,140.0,134.0,430.0,False,,,194.9
https://www.lentiamo.es/versace-0ve-4480u-gb1-7-51.html,Versace,0VE4480U GB1/7 51,sol,Mujer,Pasta,Cat Eye,,Negro,M,,18.0,140.0,135.0,430.0,False,,,209.9
https://www.lentiamo.es/versace-0ve-4467u-gb1-87-54.html,Versace,0VE4467U GB1/87 54,sol,Mujer,Nylon,Cuadradas,,Negro,M,,18.0,140.0,135.0,390.0,False,,,209.9
