Total Nacional	Comunidades y Ciudades Autónomas	Situación en el hogar	Grupo de edad	Sexo	periodo	Total
Total Nacional	Cantabria	Personas que conviven con su cónyuge	25-34 años	Hombre	2018	4,9
Total Nacional	Cantabria	Personas que conviven con su cónyuge	25-34 años	Mujer	2020	6,1
Total Nacional	Cantabria	Personas que conviven con su cónyuge	25-34 años	Mujer	2019	7,9
Total Nacional	Cantabria	Personas que conviven con su cónyuge	25-34 años	Mujer	2018	8,3
Total Nacional	Cantabria	Personas que son parte de una pareja de hecho	25-34 años	Hombre	2020	2,6
Total Nacional	Cantabria	Personas que son parte de una pareja de hecho	25-34 años	Hombre	2019	5,1
Total Nacional	Cantabria	Personas que son parte de una pareja de hecho	25-34 años	Hombre	2018	4,8
Total Nacional	Cantabria	Personas que son parte de una pareja de hecho	25-34 años	Mujer	2020	3,6
Total Nacional	Cantabria	Personas que son parte de una pareja de hecho	25-34 años	Mujer	2019	5,9
Total Nacional	Cantabria	Personas que son parte de una pareja de hecho	25-34 años	Mujer	2018	7,2
Total Nacional	Cantabria	Personas que no conviven en pareja pero forman núcleo con algún hijo	25-34 años	Hombre	2020	0,1
Total Nacional	Cantabria	Personas que no conviven en pareja pero forman núcleo con algún hijo	25-34 años	Hombre	2019	0,3
Total Nacional	Cantabria	Personas que no conviven en pareja pero forman núcleo con algún hijo	25-34 años	Hombre	2018	0,6
Total Nacional	Cantabria	Personas que no conviven en pareja pero forman núcleo con algún hijo	25-34 años	Mujer	2020	1,9
Total Nacional	Cantabria	Personas que no conviven en pareja pero forman núcleo con algún hijo	25-34 años	Mujer	2019	1,6
Total Nacional	Cantabria	Personas que no conviven en pareja pero forman núcleo con algún hijo	25-34 años	Mujer	2018	1,2
Total Nacional	Cantabria	Hijos/Hijas no del padre o madre solos	25-34 años	Hombre	2020	9,7
Total Nacional	Cantabria	Hijos/Hijas no del padre o madre solos	25-34 años	Hombre	2019	11,4
Total Nacional	Cantabria	Hijos/Hijas no del padre o madre solos	25-34 años	Hombre	2018	9,5
Total Nacional	Cantabria	Hijos/Hijas no del padre o madre solos	25-34 años	Mujer	2020	6,5
Total Nacional	Cantabria	Hijos/Hijas no del padre o madre solos	25-34 años	Mujer	2019	5,6
Total Nacional	Cantabria	Hijos/Hijas no del padre o madre solos	25-34 años	Mujer	2018	7,0
