Total Nacional	Comunidades y Ciudades Autónomas	Situación en el hogar	Grupo de edad	Sexo	periodo	Total
Total Nacional	Rioja, La	Personas que no conviven en pareja pero forman núcleo con algún hijo	25-34 años	Hombre	2020	..
Total Nacional	Rioja, La	Personas que no conviven en pareja pero forman núcleo con algún hijo	25-34 años	Hombre	2019	0,2
Total Nacional	Rioja, La	Personas que no conviven en pareja pero forman núcleo con algún hijo	25-34 años	Hombre	2018	0,1
Total Nacional	Rioja, La	Personas que no conviven en pareja pero forman núcleo con algún hijo	25-34 años	Mujer	2020	0,4
Total Nacional	Rioja, La	Personas que no conviven en pareja pero forman núcleo con algún hijo	25-34 años	Mujer	2019	0,3
Total Nacional	Rioja, La	Personas que no conviven en pareja pero forman núcleo con algún hijo	25-34 años	Mujer	2018	..
Total Nacional	Rioja, La	Hijos/Hijas no del padre o madre solos	25-34 años	Hombre	2020	4,5
Total Nacional	Rioja, La	Hijos/Hijas no del padre o madre solos	25-34 años	Hombre	2019	3,9
Total Nacional	Rioja, La	Hijos/Hijas no del padre o madre solos	25-34 años	Hombre	2018	5,2
Total Nacional	Rioja, La	Hijos/Hijas no del padre o madre solos	25-34 años	Mujer	2020	4,8
Total Nacional	Rioja, La	Hijos/Hijas no del padre o madre solos	25-34 años	Mujer	2019	2,7
Total Nacional	Rioja, La	Hijos/Hijas no del padre o madre solos	25-34 años	Mujer	2018	3,8
Total Nacional	Rioja, La	Hijos/Hijas del padre o madre solos	25-34 años	Hombre	2020	2,9
Total Nacional	Rioja, La	Hijos/Hijas del padre o madre solos	25-34 años	Hombre	2019	2,3
Total Nacional	Rioja, La	Hijos/Hijas del padre o madre solos	25-34 años	Hombre	2018	2,0
Total Nacional	Rioja, La	Hijos/Hijas del padre o madre solos	25-34 años	Mujer	2020	1,0
Total Nacional	Rioja, La	Hijos/Hijas del padre o madre solos	25-34 años	Mujer	2019	2,5
Total Nacional	Rioja, La	Hijos/Hijas del padre o madre solos	25-34 años	Mujer	2018	1,4
Total Nacional	Rioja, La	Personas que viven solas	25-34 años	Hombre	2020	2,0
Total Nacional	Rioja, La	Personas que viven solas	25-34 años	Hombre	2019	1,9
Total Nacional	Rioja, La	Personas que viven solas	25-34 años	Hombre	2018	1,8
Total Nacional	Rioja, La	Personas que viven solas	25-34 años	Mujer	2020	1,9
Total Nacional	Rioja, La	Personas que viven solas	25-34 años	Mujer	2019	1,6
Total Nacional	Rioja, La	Personas que viven solas	25-34 años	Mujer	2018	2,3
Total Nacional	Rioja, La	Personas que no viven en un núcleo familiar pero viven con otros parientes	25-34 años	Hombre	2020	0,5
Total Nacional	Rioja, La	Personas que no viven en un núcleo familiar pero viven con otros parientes	25-34 años	Hombre	2019	1,0
Total Nacional	Rioja, La	Personas que no viven en un núcleo familiar pero viven con otros parientes	25-34 años	Hombre	2018	1,8
Total Nacional	Rioja, La	Personas que no viven en un núcleo familiar pero viven con otros parientes	25-34 años	Mujer	2020	0,3
Total Nacional	Rioja, La	Personas que no viven en un núcleo familiar pero viven con otros parientes	25-34 años	Mujer	2019	0,4
Total Nacional	Rioja, La	Personas que no viven en un núcleo familiar pero viven con otros parientes	25-34 años	Mujer	2018	0,5
Total Nacional	Rioja, La	Personas que no viven en un núcleo familiar pero viven con otros personas que no son parientes	25-34 años	Hombre	2020	1,0
Total Nacional	Rioja, La	Personas que no viven en un núcleo familiar pero viven con otros personas que no son parientes	25-34 años	Hombre	2019	0,2
Total Nacional	Rioja, La	Personas que no viven en un núcleo familiar pero viven con otros personas que no son parientes	25-34 años	Hombre	2018	0,2
Total Nacional	Rioja, La	Personas que no viven en un núcleo familiar pero viven con otros personas que no son parientes	25-34 años	Mujer	2020	0,5
Total Nacional	Rioja, La	Personas que no viven en un núcleo familiar pero viven con otros personas que no son parientes	25-34 años	Mujer	2019	0,3
Total Nacional	Rioja, La	Personas que no viven en un núcleo familiar pero viven con otros personas que no son parientes	25-34 años	Mujer	2018	0,2
