Total Nacional	Comunidades y Ciudades Autónomas	Situación en el hogar	Sexo	Grupo de edad	periodo	Total
Total Nacional	Comunitat Valenciana	Personas que no viven en un núcleo familiar pero viven con otros parientes	Ambos sexos	25-34 años	2019	21,4
Total Nacional	Comunitat Valenciana	Personas que no viven en un núcleo familiar pero viven con otros parientes	Ambos sexos	25-34 años	2018	21,9
Total Nacional	Comunitat Valenciana	Personas que no viven en un núcleo familiar pero viven con otros personas que no son parientes	Ambos sexos	25-34 años	2020	15,9
Total Nacional	Comunitat Valenciana	Personas que no viven en un núcleo familiar pero viven con otros personas que no son parientes	Ambos sexos	25-34 años	2019	13,8
Total Nacional	Comunitat Valenciana	Personas que no viven en un núcleo familiar pero viven con otros personas que no son parientes	Ambos sexos	25-34 años	2018	21,0
Total Nacional	Extremadura	Personas que conviven con su cónyuge	Ambos sexos	25-34 años	2020	16,9
Total Nacional	Extremadura	Personas que conviven con su cónyuge	Ambos sexos	25-34 años	2019	21,5
Total Nacional	Extremadura	Personas que conviven con su cónyuge	Ambos sexos	25-34 años	2018	26,5
Total Nacional	Extremadura	Personas que son parte de una pareja de hecho	Ambos sexos	25-34 años	2020	22,0
Total Nacional	Extremadura	Personas que son parte de una pareja de hecho	Ambos sexos	25-34 años	2019	23,8
Total Nacional	Extremadura	Personas que son parte de una pareja de hecho	Ambos sexos	25-34 años	2018	22,9
