modelo,marca,genero,material_montura,forma,tipo_montura,color,talla,ancho_lente,ancho_puente,largo_varilla,peso,gama_marca,segmento_comercial,pais_origen,precio_min,precio_max,categoria_material,gama_material,peso_relativo,aspect_ratio,area_aprox,densidad,ancho_total,montura_completa,es_unisex,color_basico,material_eco,precio_medio_marca,precio,log_precio
0OV5186 1689 50,Oliver Peoples,Unisex,Acetato,Redondas,Montura completa,marron,M,50.0,23.0,150.0,305.0,premium,moda_premium,Estados Unidos,180.0,320.0,acetato,media,ligero,0.3333333333333333,1150.0,0.26521739130434785,123.0,1,1,1,0,250.0,249.9,5.525054453372377
EA 4115 58011W 52,Emporio Armani,Hombre,Pasta,Rectangulares,Montura completa,negro,S,52.0,18.0,145.0,200.0,premium,moda_premium,Italia,120.0,260.0,acetato,media,ligero,0.3586206896551724,936.0,0.21367521367521367,122.0,1,0,1,0,190.0,134.9,4.911919321157098
ET17464 543 54/15,Esprit,Mujer,Pasta,Rectangulares,Montura completa,negro,M,54.0,15.0,140.0,40.0,gama_media,moda_casual,Alemania,70.0,150.0,acetato,media,ligero,0.38571428571428573,810.0,0.04938271604938271,123.0,1,0,1,0,110.0,88.99,4.4996985530458575
GG1302O 006 55,Gucci,Mujer,Pasta,Cuadradas,Montura completa,marron,M,55.0,15.0,145.0,200.0,lujo,moda_lujo,Italia,260.0,520.0,acetato,media,ligero,0.3793103448275862,825.0,0.24242424242424243,125.0,1,0,1,0,390.0,244.9,5.504924949222147
PLD 6137/CS 807 M9 52,Polaroid,Unisex,Pasta,Redondas,Montura completa,negro,M,52.0,18.0,145.0,90.0,gama_media,marca_blanca_OEM,Estados Unidos,50.0,120.0,acetato,media,ligero,0.3586206896551724,936.0,0.09615384615384616,122.0,1,1,1,0,85.0,89.99,4.5107496103686
GG0550O 006 53,Gucci,Mujer,Pasta,Cat Eye,Montura completa,marron,M,53.0,16.0,140.0,190.0,lujo,moda_lujo,Italia,260.0,520.0,acetato,media,ligero,0.37857142857142856,848.0,0.2240566037735849,122.0,1,0,1,0,390.0,228.9,5.437644431769136
0RX5598 2012 49,Ray-Ban,Unisex,Pasta,Cuadradas,Montura completa,marron,M,49.0,21.0,145.0,175.0,gama_media,moda_casual,Estados Unidos,100.0,240.0,acetato,media,ligero,0.33793103448275863,1029.0,0.17006802721088435,119.0,1,1,1,0,170.0,119.9,4.794963757620747
17352N 42,Centrostyle S.p.A,Niños,Pasta,Rectangulares,Montura completa,rosa,XS,42.0,14.0,125.0,85.0,gama_media,marca_blanca_OEM,Italia,50.0,120.0,acetato,media,ligero,0.336,588.0,0.1445578231292517,98.0,1,0,0,0,85.0,76.99,4.356580613342406
0PR 09YV 21B1O1 54,Prada,Mujer,Acetato,Rectangulares,Montura completa,negro,S,54.0,18.0,140.0,270.0,lujo,moda_lujo,Italia,260.0,520.0,acetato,media,ligero,0.38571428571428573,972.0,0.2777777777777778,126.0,1,0,1,0,390.0,214.9,5.3748153375207615
SL 815 ROMY OPT 003 56,Saint Laurent,Mujer,Pasta,Rectangulares,Montura completa,negro,M,56.0,20.0,145.0,215.0,lujo,moda_lujo,Francia,210.0,420.0,acetato,media,ligero,0.38620689655172413,1120.0,0.19196428571428573,132.0,1,0,1,0,315.0,269.9,5.6017497490910495
